CustCode,CustName,VouchDate,Voucher,ReffNo,,Debit,,Credit,,Balance,,,,
,,5/21/2020,PI012069,0520-018769,,"1,570.00",,0,,"1,570.00",,,,
,,5/29/2020,PI012070,0520-018789,,783.5,,0,,783.5,,,,
,,,,,,"2,413.49",,0,,"2,413.49",,,,
TSE008-SGD,Exxonmobil Asia Pacific Pte Ltd - Fleet Card,,,,,,,,,,"1,025.31",,,
,,4/30/2020,PI012041,SGInv-2395904,,"1,025.31",,0,,"1,025.31",,,,
,,,,,,"1,025.31",,0,,"1,025.31",,Giro,,
TSF004-JLN,Fascon Machinery Pte Ltd - Factory@12 Senko Ave,,,,,,,,,,1524.75,,,
,,12/16/2019,PI011571,8191264,,"3,049.50",,0,,"3,049.50",3049.5,,,
,,2/12/2020,PI011804,8200273,,"3,354.45",,0,,"3,354.45",,,,
,,4/1/2020,PI012015,8200430,,"8,907.75",,0,,"8,907.75",,,,
,,5/1/2020,PI012071,8200530,,"8,907.75",,0,,"8,907.75",,,,
,,,,,,"24,219.45",,0,,"24,219.45",,,,
TSH030-SGD,Hwah Hong Transportation Pte Ltd,,,,,,,,,,"3,210.00",,,
,,4/1/2020,PI011989,HHTIN/20030061,,"3,210.00",,0,,"3,210.00",,,,
,,,,,,"3,210.00",,0,,"3,210.00",,,,
TSL004-SGD,Lie Yong Logistics & Engineering Pte Ltd,,,,,,,,,,"1,273.30",,,
,,4/1/2020,PI011982,20030018,,"1,273.30",,0,,"1,273.30",,,,
,,,,,,"1,273.30",,0,,"1,273.30",,,,
TSL016-SGD,Lian Seng Forklift Services,,,,,,,,,,530,,,
,,4/2/2020,PI012027,8870,,530,,0,,530,,,,
,,,,,,530,,0,,530,,,,
TSM001-SGD,Megalith Pte Ltd,,,,,,,,,,"2,300.50",,,
,,3/12/2020,PI011952,20032015,,"1,658.50",,0,,"1,658.50",,,,
,,3/16/2020,PI011953,20032013,,642,,0,,642,,,,
,,4/1/2020,PI011990,20032025,,"1,072.14",,0,,"1,072.14",,,,
,,4/1/2020,PI012028,20042031,,642,,0,,642,,,,iuu
,,4/6/2020,PI012029,20042032,,120.38,,0,,120.38,,,,
,,,,,,"4,135.02",,0,,"4,135.02",,,,
TSM002-SGD,Moh Seng Cranes Pte Ltd,,,,,,,,,,"5,649.60",,,
,,3/19/2020,PI011954,163567,,"5,649.60",,0,,"5,649.60",,,,
,,4/1/2020,PI011981,163669,,"3,081.60",,0,,"3,081.60",,,,
,,,,,,"8,731.20",,0,,"8,731.20",,,,
TSM008-SGD,MHC Medical Network Pte Ltd,,,,,,,,,,560.16,,,
,,4/1/2020,PI012044,IN2003/MA/02142,,74.9,,0,,74.9,,,,
,,4/1/2020,PI012045,IN2003/MA/00279,,400.76,,0,,400.76,,,,
,,4/30/2020,PI012046,IN2004/MA/00225,,54,,0,,54,,,,
,,5/31/2020,PI012088,IN2005/MA/0071,,30.5,,0,,30.5,,,,
,,,,,,560.16,,0,,560.16,,,,
TSN006-SGD,News Equator,,,,,,,,,,,,,
,,3/2/2020,PI011906,2002245,,27,,0,,27,,,,
,,3/2/2020,PI011907,2001245,,28.1,,0,,28.1,,,,
,,,,,,55.1,,0,,55.1,,,,
TSP008-SGD,Popular Book Co (Pte) Ltd,,,,,,,,,,115.56,,,
,,6/4/2020,PI012052,92280343,,115.56,,0,,115.56,,,,
,,,,,,115.56,,0,,115.56,,,,
TSR001-SGD,Renchen Engineering Pte Ltd,,,,,,,,,,208.65,,,
,,5/20/2020,PI012051,11163,,208.65,,0,,208.65,,,,
,,,,,,208.65,,0,,208.65,,,,
TSR003-SGD,ROLLMAC EQUIPMENTS PTE. LTD,,,,,,,,,,"7,905.80",,,
,,5/1/2020,PI012072,RL018470,,"3,311.44",,0,,"3,311.44",,,,
,,5/1/2020,PI012073,RL018469,,"2,762.31",,0,,"2,762.31",,,,
,,5/1/2020,PI012074,RL018471,,"1,832.05",,0,,"1,832.05",,,,
,,,,,,"7,905.80",,0,,"7,905.80",,,,
